id,username,password,role,specialty,schedule
1,dr_dr.,pw726,dokter,Mata,Rabu 08:00-11:00;Jumat 08:00-11:00
2,dr_darmanto,pw314,dokter,Jantung,Senin 16:00-19:00;Jumat 08:00-11:00
3,dr_faizah,pw680,dokter,Umum,Selasa 14:00-17:00;Jumat 16:00-19:00
4,dr_r.,pw350,dokter,Saraf,Sabtu 16:00-19:00;Kamis 08:00-11:00
5,dr_gatot,pw210,dokter,Jantung,Sabtu 14:00-17:00;Kamis 08:00-11:00
6,dr_titin,pw505,dokter,Saraf,Kamis 14:00-17:00;Jumat 10:00-13:00
7,dr_tgk.,pw132,dokter,Bedah Umum,Senin 10:00-13:00;Selasa 14:00-17:00
8,dr_cornelia,pw111,dokter,Saraf,Senin 16:00-19:00;Jumat 10:00-13:00
9,dr_ani,pw935,dokter,Saraf,Kamis 08:00-11:00;Jumat 10:00-13:00
10,dr_cahyadi,pw131,dokter,Saraf,Rabu 14:00-17:00;Kamis 08:00-11:00
11,padma49,pw426,pasien,,
12,kh.67,pw551,pasien,,
13,taufan16,pw189,pasien,,
14,najwa17,pw482,pasien,,
15,dt.30,pw363,pasien,,
16,tgk.56,pw564,pasien,,
17,gilda32,pw922,pasien,,
18,raina33,pw583,pasien,,
19,panca36,pw153,pasien,,
20,r.49,pw703,pasien,,
21,ivan82,pw855,pasien,,
22,cut46,pw519,pasien,,
23,ellis87,pw222,pasien,,
24,dr.81,pw537,pasien,,
25,johan24,pw683,pasien,,
26,h.79,pw130,pasien,,
27,dr.69,pw997,pasien,,
28,gaman83,pw934,pasien,,
29,sutan96,pw283,pasien,,
30,ir.68,pw528,pasien,,
31,tami46,pw302,pasien,,
32,kiandra93,pw457,pasien,,
33,raisa77,pw189,pasien,,
34,baktiadi60,pw767,pasien,,
35,dacin46,pw375,pasien,,
36,ulya84,pw705,pasien,,
37,hasna90,pw676,pasien,,
38,drajat41,pw845,pasien,,
39,sari10,pw699,pasien,,
40,damar77,pw674,pasien,,
41,mariadi95,pw518,pasien,,
42,iriana28,pw170,pasien,,
43,carla98,pw452,pasien,,
44,soleh76,pw859,pasien,,
45,drs.83,pw622,pasien,,
46,tgk.97,pw667,pasien,,
47,mursinin27,pw742,pasien,,
48,r.m.14,pw737,pasien,,
49,ir.62,pw296,pasien,,
50,drg.45,pw157,pasien,,
51,dr.58,pw916,pasien,,
52,raditya88,pw994,pasien,,
53,tirta75,pw107,pasien,,
54,r.41,pw290,pasien,,
55,vinsen27,pw895,pasien,,
56,syahrini43,pw436,pasien,,
57,ade55,pw610,pasien,,
58,tri43,pw286,pasien,,
59,zulaikha10,pw457,pasien,,
60,yusuf71,pw696,pasien,,
61,pranawa45,pw616,pasien,,
62,taufik75,pw967,pasien,,
63,rahayu20,pw858,pasien,,
64,umay49,pw591,pasien,,
65,tantri81,pw215,pasien,,
66,aditya81,pw896,pasien,,
67,clara31,pw746,pasien,,
68,ida13,pw698,pasien,,
69,viman35,pw984,pasien,,
70,zaenab85,pw578,pasien,,
71,dr.27,pw831,pasien,,
72,eva12,pw868,pasien,,
73,hartaka50,pw237,pasien,,
74,r.m.70,pw716,pasien,,
75,r.39,pw490,pasien,,
76,najwa73,pw289,pasien,,
77,kasusra14,pw466,pasien,,
78,hj.33,pw463,pasien,,
79,dagel44,pw523,pasien,,
80,ciaobella91,pw949,pasien,,
81,banawi75,pw710,pasien,,
82,jabal41,pw415,pasien,,
83,ade14,pw890,pasien,,
84,r.47,pw931,pasien,,
85,hadi14,pw981,pasien,,
86,ina49,pw119,pasien,,
87,samiah44,pw944,pasien,,
88,r.m.83,pw439,pasien,,
89,yusuf62,pw362,pasien,,
90,sabri78,pw835,pasien,,
91,ophelia94,pw502,pasien,,
92,cut18,pw376,pasien,,
93,banawi61,pw816,pasien,,
94,fitriani71,pw503,pasien,,
95,candrakanta46,pw925,pasien,,
96,r.91,pw290,pasien,,
97,michelle60,pw192,pasien,,
98,drajat78,pw762,pasien,,
99,vinsen39,pw863,pasien,,
100,uli80,pw393,pasien,,
101,cut44,pw571,pasien,,
102,rusman67,pw115,pasien,,
103,ir.40,pw831,pasien,,
104,lembah52,pw194,pasien,,
105,tgk.86,pw969,pasien,,
106,r.96,pw266,pasien,,
107,dr.72,pw668,pasien,,
108,faizah22,pw862,pasien,,
109,lulut64,pw270,pasien,,
110,indah81,pw343,pasien,,
111,staff1,pwstaff,staff,,
